Distance,Intensity
90.397,65520.4648
90.484,65494.7969
90.570,65527.0820
90.657,65499.9609
90.744,65518.5156
90.830,65530.7812
90.917,65534.5508
91.004,65520.3672
91.090,65534.1094
91.177,65518.1875
91.264,65532.1445
91.350,65519.2500
91.437,65511.7461
91.524,65505.3477
91.610,65511.3164
91.697,65519.2148
91.784,65534.5078
91.870,65526.1133
91.957,65516.2617
92.044,65531.8281
92.130,65533.5898
92.217,65518.8203
92.304,65534.0000
92.390,65515.6797
92.477,65534.6875
92.564,65502.8906
92.650,65516.7773
92.737,65511.9844
92.824,65524.1328
92.910,65508.7305
92.997,65528.9297
93.084,65523.8359
93.170,65514.7188
93.257,65535.0000
93.344,65525.7812
93.430,65524.0117
93.517,65529.2227
93.604,65518.0898
93.690,65532.2344
93.777,65525.3008
93.864,65513.8203
93.950,65534.6797
94.037,65524.4023
94.124,65511.1250
94.210,65533.2656
94.297,65535.0000
94.384,65524.0156
94.470,65531.3438
94.557,65520.9141
94.644,65510.7383
94.730,65511.8242
94.817,65514.7031
94.904,65533.9141
94.990,65521.3750
95.077,65532.5195
95.164,65525.0312
95.250,65523.0547
95.337,65524.7148
95.424,65534.2266
95.510,65534.8047
95.597,65532.0430
95.684,65517.8906
95.771,65522.5039
95.857,65503.2500
95.944,65520.6406
96.031,65522.7930
96.117,65529.6289
96.204,65530.7344
96.291,65518.2773
96.377,65509.3672
96.464,65514.3242
96.551,65509.0820
96.637,65530.7773
96.724,65524.3359
96.811,65518.1992
96.897,65522.0000
96.984,65527.7383
97.071,65518.9258
97.157,65501.3789
97.244,65512.8242
97.331,65517.0156
97.417,65524.3281
97.504,65526.9648
97.591,65514.0273
97.677,65519.4688
97.764,65526.9883
97.851,65534.0039
97.937,65535.0000
98.024,65518.3789
98.111,65532.3242
98.197,65514.0820
98.284,65515.0352
98.371,65503.4336
98.457,65518.1328
98.544,65499.8555
98.631,65498.1328
98.717,65504.0586
98.804,65500.8633
98.891,65489.7266
98.977,65504.4492
99.064,65501.8906
99.151,65497.7227
99.237,65503.8750
99.324,65493.6953
99.411,65497.4258
99.497,65487.0039
99.584,65490.4336
99.671,65501.5625
99.757,65497.2930
99.844,65495.7383
99.931,65502.9609
100.017,65505.0469
100.104,65507.0000
100.191,65515.5742
100.277,65520.3906
100.364,65530.7656
100.451,65515.3008
100.537,65519.8438
100.624,65524.8750
100.711,65529.4258
100.797,65519.5742
100.884,65533.4062
100.971,65532.1133
101.057,65532.2578
101.144,65535.0000
101.231,65533.6914
101.317,65524.1797
101.404,65515.4883
101.491,65526.6641
101.577,65514.0000
101.664,65531.1680
101.751,65515.3867
101.837,65519.8086
101.924,65529.0312
102.011,65529.5156
102.097,65532.2266
102.184,65520.9648
102.271,65512.7031
102.357,65525.4727
102.444,65528.6172
102.531,65522.4258
102.617,65509.3789
102.704,65515.4414
102.791,65519.3633
102.877,65527.6367
102.964,65518.3672
103.051,65519.3945
103.137,65519.0000
103.224,65506.4688
103.311,65529.1953
103.397,65534.2461
103.484,65532.5664
103.571,65530.3789
103.657,65515.3828
103.744,65519.0391
103.831,65515.8984
103.917,65503.2734
104.004,65508.4648
104.091,65522.5508
104.177,65528.7891
104.264,65504.9727
104.351,65520.2148
104.438,65529.5938
104.524,65515.4102
104.611,65523.7773
104.698,65531.7500
104.784,65524.1836
104.871,65533.5625
104.958,65521.0000
105.044,65524.7930
105.131,65528.1289
105.218,65524.2539
105.304,65510.3711
105.391,65529.9883
105.478,65532.0312
105.564,65533.4258
105.651,65532.2148
105.738,65526.2656
105.824,65522.4883
105.911,65517.3867
105.998,65520.7812
106.084,65533.4375
106.171,65524.0195
106.258,65519.0195
106.344,65534.5547
106.431,65512.2383
106.518,65518.9141
106.604,65519.9023
106.691,65526.6445
106.778,65530.4570
106.864,65516.1055
106.951,65532.4805
107.038,65528.3281
107.124,65507.1523
107.211,65529.4297
107.298,65517.6328
107.384,65523.8086
107.471,65525.0000
107.558,65507.2344
107.644,65518.2656
107.731,65535.0000
107.818,65515.8242
107.904,65532.3594
107.991,65516.0273
108.078,65519.5977
108.164,65528.0000
108.251,65521.7812
108.338,65525.9414
108.424,65516.2617
108.511,65517.3086
108.598,65499.9766
108.684,65497.2344
108.771,65510.2500
108.858,65514.4922
108.944,65500.7461
109.031,65505.9883
109.118,65497.7617
109.204,65493.2930
109.291,65497.5117
109.378,65495.2305
109.464,65491.4844
109.551,65498.7070
109.638,65502.4414
109.724,65496.4766
109.811,65501.4766
109.898,65511.1602
109.984,65502.1133
110.071,65503.2070
110.158,65500.7852
110.244,65506.6016
110.331,65527.1953
110.418,65504.4219
110.504,65513.3789
110.591,65518.3750
110.678,65526.0000
110.764,65507.0039
110.851,65526.4375
110.938,65525.9023
111.024,65525.4492
111.111,65531.1250
111.198,65532.5000
111.284,65521.1172
111.371,65525.1211
111.458,65523.9453
111.544,65518.8711
111.631,65503.2422
111.718,65525.6914
111.804,65520.0000
111.891,65526.1406
111.978,65523.4023
112.064,65523.1055
112.151,65520.5117
112.238,65508.5352
112.324,65520.0000
112.411,65520.2539
112.498,65503.5859
112.585,65515.9492
112.671,65527.5156
112.758,65530.7461
112.845,65520.8750
112.931,65524.2578
113.018,65517.4922
113.105,65522.6016
113.191,65517.6094
113.278,65522.1289
113.365,65502.6953
113.451,65531.2656
113.538,65513.5977
113.625,65535.0000
113.711,65510.5352
113.798,65519.0000
113.885,65522.7773
113.971,65511.4062
114.058,65519.1758
114.145,65522.0664
114.231,65527.6211
114.318,65525.4531
114.405,65526.5742
114.491,65525.4219
114.578,65517.9180
114.665,65527.5039
114.751,65520.6914
114.838,65516.3203
114.925,65520.0547
115.011,65522.6094
115.098,65520.8672
115.185,65515.0273
115.271,65525.9727
115.358,65520.8398
115.445,65517.7344
115.531,65529.6211
115.618,65533.6836
115.705,65526.6914
115.791,65530.3711
115.878,65523.6641
115.965,65516.6758
116.051,65519.0000
116.138,65533.0000
116.225,65520.3828
116.311,65522.2773
116.398,65523.7383
116.485,65503.4961
116.571,65525.9258
116.658,65519.0000
116.745,65501.0977
116.831,65525.6836
116.918,65513.9961
117.005,65523.7227
117.091,65521.0000
117.178,65521.9336
117.265,65522.3516
117.351,65522.8789
117.438,65515.6016
117.525,65535.0000
117.611,65513.3516
117.698,65521.9375
117.785,65528.0000
117.871,65530.3906
117.958,65516.2656
